여행지 id,여행지명칭,분류,태그,지역구분,주소,여행지 경도,여행지 위도
TRAVEL_000001,구리동해수욕장,체험,기타레저,인천,인천 옹진군 연평면 연평로 528번길 162,125.685571,37.668638
TRAVEL_000002,호텔 아쿠아펠리스 스카이 전망대&스카이 워크,관광지,기타관광지,부산,부산 수영구 광안해변로 225,129.118789,35.154111
TRAVEL_000003,강릉 국가유산 야행,관광지,기타관광지,강원,강원 강릉시 임영로131번길 6 임영관,128.891808,37.753121
TRAVEL_000004,여수 야경불꽃크루즈,관광지,기타관광지,전남,전라남도 여수시 돌산읍 돌산로 3617-18,127.736941,34.729733
TRAVEL_000005,태안봄꽃정원,관광지,기타관광지,충남,충청남도 태안군 남면 마검포길 200,126.301274,36.616123
TRAVEL_000006,제주감귤박람회,관광지,기타관광지,제주,제주 서귀포시 남원읍 중산간동로 7413,126.607604,33.28822
TRAVEL_000007,스피드호,체험,기타레저,경남,경남 통영시 용남면 연기길 318,128.466793,34.872888
TRAVEL_000008,돔돔돔바다낚시터,체험,기타레저,경기,경기 안산시 단원구 구봉길 55 돔돔돔바다낚시터,126.563217,37.27055
TRAVEL_000009,인천배낚시 광복낚시,체험,기타레저,인천,인천시 중구 항동 7가 27-171,126.612489,37.453862
TRAVEL_000010,에이앤티레저 제트보트,체험,기타레저,강원,강원도 속초시 대포항희망길 103,128.6094935,38.17405293
TRAVEL_000011,전도갯벌체험장,체험,기타레저,경남,경남 남해군 삼동면 동부대로1662번길 18-8,128.0202243,34.8314793
TRAVEL_000012,남해휴게소낚시,체험,기타레저,경남,경남 남해군 고현면 남해대로 3623,127.8710133,34.90191323
TRAVEL_000013,달월낚시터,체험,기타레저,경기,경기 시흥시 군자로 125-39,126.7702677,37.37252857
TRAVEL_000014,도남낚시,체험,기타레저,제주,제주 제주시 일주서로 7517,126.4497269,33.49512964
TRAVEL_000015,영흥도배낚시 제3용진호,체험,기타레저,인천,인천 옹진군 영흥면 영흥로 109-16 영흥도배낚시 제3용진호,126.4980179,37.25484299
TRAVEL_000016,뉴안흥호,체험,기타레저,충남,충남 홍성군 서부면 남당항로 19,126.4898991,36.53245407
TRAVEL_000017,약산일주낚시슈퍼,체험,기타레저,전남,전남 완도군 약산면 해동1길 2,126.932664,34.38387192
TRAVEL_000018,뉴청해호,체험,기타레저,전남,전남 완도군 완도읍 장보고대로 208,126.7483206,34.31682082
TRAVEL_000019,용오름호,체험,기타레저,경북,경상북도 경주시 감포읍 감포로4길 45,129.4972632,35.80348047
TRAVEL_000020,에이스피싱호,체험,기타레저,경기,경기 평택시 포승읍 서동대로 783,126.8553824,36.96027223
TRAVEL_000021,칸스쿠버리조트,체험,기타레저,강원,강원 양양군 현남면 인구항길 12 칸스쿠버리조트,128.761928,37.970261
TRAVEL_000022,보홀 조이다이브,체험,기타레저,제주,"제주 서귀포시  중산간동로 8383 (서호동, (주)대지)",126.52125,33.260806
TRAVEL_000023,해운대요트투어 요트데이,체험,기타레저,부산,부산 해운대구 해운대해변로 84 요트경기장 5번 게이트,129.140649,35.160666
TRAVEL_000024,오투펜션,체험,기타레저,부산,부산 기장군 장안읍 해맞이로 270,129.268025,35.321899
TRAVEL_000025,서프홀릭 다대포,체험,기타레저,부산,"부산 사하구  다대로 704 (다대동, 몰운대종합시장상가)",128.964609,35.048733
TRAVEL_000026,마우이스포츠,체험,기타레저,울산,울산 울주군 서생면 진하6길 20-3,129.346184,35.385309
TRAVEL_000027,코마린요트,체험,기타레저,강원,강원 속초시  엑스포로 10-29 (조양동),128.593274,38.191262
TRAVEL_000028,에이앤티레저 제트보트,체험,기타레저,강원,강원 속초시  대포항희망길 93-16 (대포동),128.609551,38.174542
TRAVEL_000029,장생포고래박물관,관광지,기타관광지,울산,"울산 남구  장생포고래로 244 (매암동, 장생포고래박물관)",129.380958,35.502657
TRAVEL_000030,원할머니보쌈족발 부산광안점,음식점,기타,부산,부산 수영구  광일로 10 (광안동),129.113068,35.162193
TRAVEL_000031,제주오성 순살갈치조림 제주도 중문 본점,음식점,기타,제주,제주 서귀포시  중문관광로 27 (색달동),126.414676,33.255695
TRAVEL_000032,마추깡 카페,음식점,기타,강원,강원 고성군 거진읍 해오름해변길 117 명태웰빙타운 2층,128.45395,38.438871
TRAVEL_000033,영천횟집 탑동본점,음식점,기타,제주,제주 제주시  서부두길 22 (건입동),126.52847,33.51825
TRAVEL_000034,마라도회조개구이,음식점,기타,인천,인천 중구  용유서로423번길 15 (을왕동),126.370261,37.456027
TRAVEL_000035,대진횟집1호점,음식점,기타,제주,제주 제주시  서부두길 16 (건입동),126.528276,33.517639
TRAVEL_000036,제주해녀할매,음식점,기타,부산,부산 기장군 기장읍 연화1길 205,129.227113,35.219021
TRAVEL_000037,에이치모먼트호텔 송정점,숙박,기타숙박,부산,부산 해운대구 송정해변로 8-8 (송정동),129.20506,35.181442
TRAVEL_000038,유니호텔 제주,숙박,기타숙박,제주,제주 제주시 애월읍 애월해안로 656,126.373456,33.479476
TRAVEL_000039,레드하우스,숙박,기타숙박,부산,부산 수영구  민락본동로11번길 79 (민락동),129.124567,35.156555
TRAVEL_000040,JR큐슈고속선,관광지,기타관광지,부산,부산 동구 충장대로 206 3층 JR큐슈고속선,129.049157,35.117754
TRAVEL_000041,해운대유람선,관광지,기타관광지,부산,부산 해운대구  달맞이길62번길 33-1 (중동),129.170646,35.158417
TRAVEL_000042,코자자호텔,숙박,기타숙박,부산,부산 서구  송도해변로 185 (암남동),129.022632,35.077675
TRAVEL_000043,문암해변,관광지,기타관광지,강원,강원도 고성군 죽왕면 괘진길 63,128.54963,38.296382
TRAVEL_000044,아셀키즈,숙박,기타숙박,인천,인천광역시 강화군 길상면 해안남로 1638-1 (얄리얄라),126.441856,37.596807
TRAVEL_000045,뉴안흥호,체험,기타레저,충남,충청남도 홍성군 서부면 남당항로 19,126.489955,36.532482
TRAVEL_000046,천년학힐링타운,관광지,기타관광지,강원,강원도 삼척시 원덕읍 사곡길 43-127 (힐링타운관리소),129.296806,37.141456
TRAVEL_000047,한려해상국립공원동부사무소 통영분소,관광지,기타관광지,경남,경상남도 통영시 산양읍 산양일주로 1111,128.401486,34.769715
TRAVEL_000048,강구어시장,쇼핑,기타쇼핑,경북,경상북도 영덕군 강구면 강구시장1길 1-13,129.37956,36.358284
TRAVEL_000049,태안동부시장,쇼핑,기타쇼핑,충남,충청남도 태안군 태안읍 시장4길 18,126.298468,36.751359
TRAVEL_000050,한서대학교 해양스포츠교육원,관광지,기타관광지,충남,충청남도 태안군 남면 곰섬로 314,126.300469,36.593932
TRAVEL_000051,한국농어촌공사 새만금33센터,관광지,기타관광지,전북,전라북도 김제시 진봉면 새만금로 1499,126.480821,35.812884
TRAVEL_000052,신안자연휴양림,관광지,기타관광지,전남,전라남도 신안군 자은면 자은서부2길 508-77 (자은면 수련시설),125.995648,34.879126
TRAVEL_000053,다산명가 찻집,음식점,기타,전남,전라남도 강진군 도암면 다산초당길 68,126.747306,34.579218
TRAVEL_000054,고복수음악관,관광지,기타관광지,울산,울산광역시 중구  중앙1길 9 (성남동),129.31974,35.556263
TRAVEL_000055,장생포고래문화마을고래이야기길,관광지,기타관광지,울산,울산 남구 매암동 209-8,129.383069,35.50588
TRAVEL_000056,168계단,관광지,기타관광지,부산,부산광역시 동구  영초길191번길 8-1 (초량동),129.035464,35.117227
TRAVEL_000057,통일공원함정전시관,관광지,기타관광지,강원,강원도 강릉시 강동면 율곡로 1616 (함정전시관),129.004521,37.718404
